"DisplayName","MailNickname","SecurityEnabled","Description"
"Students","0d99612c-d","True","Dynamic security group for Meridian Institute students"
"xyz.inc","xyz.inc","False","xyz.inc"
"MFA-Required-Users","171a60f5-2","True","Users required to authenticate using Multi-Factor Authentication for secure access to Microsoft 365 resources."
"Security Operations","2008f07a-6","True","Security Operations- Dynamic Group"
"Students 2","98180e91-a","True","Dynamic security group for Meridian Institute students"
"Professors","d01b44ae-a","True","Dynamic security group for Meridian Institute professors"
"IT Operations","a62fcc9b-9","True","IT operations dynamic group"
"All Company","allcompany","False","This is the default group for everyone in the network"
"Helpdesk-Level1","16bfad57-3","True","Level 1 IT support group responsible for password resets, basic account troubleshooting, and first-line Microsoft 365 user support operations."
"NBS IT Portal","NBSITPortal","False","IT Operations Hub for Canada's National Ballet School"
